barcode	plateRow	plateColumn	numcells	Nuclei DAPI - Intensity Nucleus EGFP Mean - Median	Nuclei DAPI - Intensity Nucleus EGFP StdDev - StdDev	Nuclei DAPI - Intensity Nucleus EGFP Median - Median	Nuclei DAPI - Nucleus Area [µm²] - Sum	Nuclei DAPI - Nucleus Roundness - Sum	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev	Nuclei DAPI - Nucleus DAPI Haralick Homogeneity 1 px - Sum	Nuclei/Median_GFP	Number of Analyzed Fields	concenctration	treatment	hitscore	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev.bscore	Nuclei/Median_GFP.bscore
001AL100205B-KI_1_1	1	3	9449	1483	134.314476062	1488	2837953.56744	8798.72616072	0.00339452944965	5194.93236172	6.3501344086	9	250 nM	18858	-16.6878798823374	-0.0622544002819202	2.65029950765895
001AL100205B-KI_1_1	1	4	8505	1847.4516129	162.062930206	1855	2590167.74214	7912.62995601	0.00302958910283	4746.37162572	4.58490566038	9	1 uM	Staurophorin	17.8335338344281	-0.0758527787361148	-0.563859959985263
001AL100205B-KI_1_1	1	5	8869	1394.52631579	125.332680244	1393	2691250.91886	8274.99004504	0.00339641230106	4751.52403371	6.36683417085	9	10 uM	library	-6.53038731129001	-0.0385155843413906	2.41499908655536
001AL100205B-KI_1_1	1	6	9387	1571.6254417	139.501218373	1575	2836564.58257	8755.79434074	0.003461509273	5120.58030898	5.96	9	3.3 uM	library	-1.92699953447902	-0.02123749827562	1.85202756714931
001AL100205B-KI_1_1	1	7	724	374.035118286	63.4893155089	374	144143.68072	676.430135137	0.00668118238438	253.874714827	1.93582887701	9	10 uM	library	-120.340002437606	0.198950578152866	-4.27073428767653
001AL100205B-KI_1_1	1	8	654	543.178505224	103.662087275	539	116482.362685	628.255961471	0.00677088346945	217.559550824	1.2133580705	9	3.3 uM	library	-109.155096350248	0.230518466935969	-5.07799295786418
001AL100205B-KI_1_1	1	9	479	407.506410256	84.0887781933	407	119021.600653	444.568731262	0.00773658159042	183.874398434	1.1769041769	9	10 uM	library	-123.471776142066	0.288800906590154	-4.63926932659791
001AL100205B-KI_1_1	1	10	505	423.296803653	73.3324835152	420	121853.827617	468.616616004	0.00789757702776	192.534749355	1.20238095238	9	3.3 uM	library	-126.702616157586	0.322461909457985	-4.9579522563825
001AL100205B-KI_1_1	1	11	565	426.96875	135.925187523	424	135787.082108	523.08347235	0.00865516763536	219.010996262	1.33254716981	9	10 uM	library	-129.879129486395	0.375167122443554	-4.25037733778792
001AL100205B-KI_1_1	1	12	915	868.753731343	276.707848705	861	334551.014504	836.753321137	0.00694097197524	429.241641238	1.06271777003	9	3.3 uM	library	-91.8121005399373	0.246335163505171	-4.69645970072151
001AL100205B-KI_1_1	1	13	7759	1857.18149466	186.346767475	1867	2575292.38498	7201.69944194	0.00365472896196	4312.19754037	4.1558650241	9	10 uM	library	8.79932540329681	-0.0101163670965026	0.00453022025497666
001AL100205B-KI_1_1	1	14	8454	2317.09486298	192.795565768	2332	2521944.71178	7888.54054242	0.00366253378374	4574.34178189	3.62521440823	9	3.3 uM	library	61.4051344195926	-0.0204149683307042	-0.286983915711878
001AL100205B-KI_1_1	1	15	655	661.885496183	245.107001118	670	128508.722462	623.722062663	0.0067784636114	225.72085382	0.977611940299	9	10 uM	library	-107.955115711448	0.215645528993603	-4.20418644976751
001AL100205B-KI_1_1	1	16	1170	1077.76456677	236.514481212	1081	390143.950188	1084.77037671	0.00611737520713	555.211481921	1.08233117484	9	3.3 uM	library	-60.9545424886448	0.178047302380472	-4.09516871421317
001AL100205B-KI_1_1	1	17	8401	2301.08387097	207.143830787	2314	2571082.02459	7843.75828741	0.00389528525554	4553.24299347	3.6305099395	9	10 uM	library	43.6115466783336	0.0144433382910411	0.0838177133436147
001AL100205B-KI_1_1	1	18	8260	2267.66929965	189.124001315	2274	2641329.34256	7686.99767649	0.00327219233975	4552.35430335	3.63236587511	9	3.3 uM	library	47.7835166489179	-0.052308513368795	0.254710568253923
001AL100205B-KI_1_1	1	19	7949	2195.47368421	194.00951214	2203	2641276.07184	7368.52258372	0.00367105307401	4476.25229942	3.60826146164	9	10 uM	library	29.5345434455308	-0.0421776864779484	0.521545632608166
001AL100205B-KI_1_1	1	20	8632	2216.6690634	214.483437537	2219	2903208.23454	7970.60663702	0.00349318022839	4933.70889854	3.89004055881	9	3.3 uM	library	42.1814765428786	-0.0193954967547339	0.758566198403852
001AL100205B-KI_1_1	1	21	8394	2137.09147574	201.861457884	2135	3127579.60251	7696.51463924	0.00313967311702	4995.76811251	3.93161592506	9	10 uM	library	33.9302115378623	-0.0366673740171941	1.07876541489655
001AL100205B-KI_1_1	1	22	7345	1967.83056478	222.873906832	1969	2837028.23519	6700.95466722	0.00334171081229	4463.35947205	3.73031995937	9	3.3 uM	library	17.2263532182573	0.0205909284097677	0.137947021240778
001AL100205B-KI_1_1	2	3	9088	1377.20797247	117.20678399	1388	2319389.67934	8543.42392569	0.00506830942626	4562.44776837	6.54755043228	9	250 nM	18858	-11.3766473345693	0.0458925250514121	1.41800400896962
001AL100205B-KI_1_1	2	4	8439	1417.23628692	136.845975481	1427	2178826.97524	7931.23298074	0.00421852348065	4235.10176962	5.9138051857	9	1 uM	Staurophorin	-10.3971691300622	-0.00497357359752057	0.090949662784074
001AL100205B-KI_1_1	2	5	8008	1257.71626984	121.977284757	1267	2148216.03734	7550.00806343	0.00377651285955	4040.72646917	6.32044198895	9	1.1 uM	library	-3.87796672485952	-0.0298074962306891	0.776076612981473
001AL100205B-KI_1_1	2	6	8610	1500.25570765	134.015036977	1511	2198460.19748	8093.98639882	0.0037828612702	4341.27087233	5.6982131039	9	0.37 uM	library	7.0656649597564	-0.0170451259916954	-0.146133435057824
001AL100205B-KI_1_1	2	7	5048	1263.68295869	144.336495131	1268	1518286.73579	4727.32445838	0.00437182625141	2550.86479232	3.98107255521	9	1.1 uM	library	-13.3803433679331	0.000933226859074457	-2.42119516362197
001AL100205B-KI_1_1	2	8	7585	1442.77727273	146.802165025	1450	2294487.58764	7103.73133525	0.00360057514756	4000.53043786	5.23103448276	9	0.37 uM	library	-0.456983305854892	-0.0336760866626231	0.0611990058317014
001AL100205B-KI_1_1	2	9	693	628.822222222	226.705968865	612	202915.103091	639.121796804	0.00839989364208	299.737076722	1.13235294118	9	1.1 uM	library	-86.9706340478383	0.319278083065758	-6.27512144257527
001AL100205B-KI_1_1	2	10	5930	1400.15912989	151.283670012	1405	1679037.07228	5580.04341264	0.00406432731821	2971.85052577	4.2206405694	9	0.37 uM	library	-10.4371152232313	0.00731027962216912	-1.48560258427600
001AL100205B-KI_1_1	2	11	4162	1308.95677313	172.491907659	1320	1366693.0453	3876.58076225	0.00419718263279	2117.11059138	3.15303030303	9	1.1 uM	library	-22.7149464196963	0.0119951328186597	-2.77569721514065
001AL100205B-KI_1_1	2	12	5133	1373.79634465	167.70766097	1380	1648729.97482	4792.84192555	0.00436461807021	2666.90239306	3.71956521739	9	0.37 uM	library	-23.2006909126330	0.0277949936345311	-1.82687865523161
001AL100205B-KI_1_1	2	13	9205	1622.39855072	129.948968442	1633	2434656.68026	8658.75387219	0.00369223824962	4753.54310315	5.63686466626	9	1.1 uM	library	0.407450150325166	-0.0277416017060971	0.913014694709909
001AL100205B-KI_1_1	2	14	8886	1514.88129092	123.654638522	1528	2244944.82541	8378.57911685	0.00443374207248	4398.51123856	5.81544502618	9	0.37 uM	library	-5.2760799857792	0.018355666482147	1.80436659679887
001AL100205B-KI_1_1	2	15	7215	1541.81920904	154.849349721	1550	2002407.15317	6783.38185378	0.00399109714719	3690.08981203	4.65483870968	9	1.1 uM	library	-2.42712462095657	-0.0191141487630974	0.367198503269772
001AL100205B-KI_1_1	2	16	7672	1691.83712702	137.478540623	1703	2064006.85652	7201.58991616	0.00406092042882	3879.06066199	4.50499119201	9	0.37 uM	library	18.1898529854968	-0.000530753298673283	0.0516459988213391
001AL100205B-KI_1_1	2	17	9475	2265.65838509	189.534535374	2288	2340493.76553	8934.6566146	0.00430710688266	4756.83660862	4.14117132867	9	1.1 uM	library	56.4901671160624	0.0255896704797155	-0.62604247574325
001AL100205B-KI_1_1	2	18	8303	1971.98190045	163.7586595	1984	2250429.73726	7823.17561752	0.00376308885429	4257.03147349	4.18497983871	9	0.37 uM	library	33.6649694792193	-0.035084079643975	-0.385180489201345
001AL100205B-KI_1_1	2	19	8648	2027.34111384	179.284815722	2045	2245036.56943	8140.44260025	0.00449022098395	4362.71779953	4.22885085575	9	1.1 uM	library	28.9145800795459	0.000279370874341712	-0.0049749843034704
001AL100205B-KI_1_1	2	20	9336	1917.6781423	160.964837534	1930	2499174.43564	8778.56712176	0.00378608074182	4828.91003302	4.83730569948	9	0.37 uM	library	28.1651913716929	-0.0173900514820304	0.776880281685527
001AL100205B-KI_1_1	2	21	8233	1948.70250896	179.269958782	1955	2679167.34237	7636.85134193	0.00347126512462	4563.76950429	4.21125319693	9	1.1 uM	library	31.0604842045917	-0.0316879019981563	-0.0164002552736868
001AL100205B-KI_1_1	2	22	7501	1650.19419643	188.1308711	1647	2878750.06556	6860.66335487	0.00324063702961	4463.01864231	4.55434122647	9	0.37 uM	library	-0.164577903856832	-0.00768651197842507	-0.0492868726820325
001AL100205B-KI_1_1	3	3	8931	1896.76	152.58700541	1915	2255001.15479	8371.40083146	0.00551832338512	4431.98910817	4.6637075718	9	250 nM	18858	9.47840898717209	0.0610433990238359	-0.216944553938307
001AL100205B-KI_1_1	3	4	10029	1948.28289474	171.588456587	1966	2433358.45292	9451.69505581	0.00453131529385	4887.38391144	5.1012207528	9	0.1 ugml	Interferin	11.6850311738350	-0.000370297750646552	0.242661941295259
001AL100205B-KI_1_1	3	5	8692	1938.95890269	204.979910102	1957	2160415.03373	8183.10542044	0.00457733666558	4223.57438368	4.44149207971	9	10 uM	library	33.6457953544981	0.0123084224044441	-0.85071141260473
001AL100205B-KI_1_1	3	6	8383	1858.85064935	166.268216931	1875	2109250.47382	7895.64908854	0.00464726520318	4089.32134899	4.47093333333	9	3.3 uM	library	11.2520155238816	0.0299578873949048	-0.686056248377676
001AL100205B-KI_1_1	3	7	7977	1840.53877551	156.70587171	1857	2046875.38544	7486.76951409	0.00528565356603	3937.51602293	4.29563812601	9	10 uM	library	13.8149568616133	0.0517351749222686	-0.389605236385534
001AL100205B-KI_1_1	3	8	8023	1918.40217391	176.941325635	1933	2091109.81842	7563.78938867	0.00411473203067	3994.1484581	4.1505431971	9	3.3 uM	library	15.8985450813153	-0.0135948584508559	-0.233907775046387
